id,name,text,category
drowning,"Accidental drowning","Swimming is fun! Http://swimaustralia.org.au/",DEATH
poisoning,"Accidental poisoning",,DEATH
perinatal,"All certain conditions originating in the perinatal period",,DEATH
infectious_parasitic,"All certain infectious and parasitic diseases",,DEATH
congenital,"All congenital malformations, deformations and chromosomal abnormalities",,DEATH
blood_immune,"All diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism",,DEATH
circulatory,"All diseases of the circulatory system",,DEATH
disgestive_system,"All diseases of the digestive system",,DEATH
ear,"All diseases of the ear and mastoid process",,DEATH
eye,"All diseases of the eye and adnexa",,DEATH
genitourinary,"All diseases of the genitourinary system",,DEATH
musculoskeletal,"All diseases of the musculoskeletal system and connective tissue",,DEATH
nervous_system,"All diseases of the nervous system",,DEATH
respiratory_system,"All diseases of the respiratory system",,DEATH
skin,"All diseases of the skin and subcutaneous tissue",,DEATH
endocrine,"All endocrine, nutritional and metabolic diseases",,DEATH
external,"All external causes of morbidity and mortality",,DEATH
mental,"All mental and behavioural disorders",,DEATH
neoplasm,"All neoplasms",,DEATH
pregnancy,"All pregnancy, childbirth and the puerperium",,DEATH
assault,Assault,,DEATH
asthma,Asthma,,DEATH
breast_cancer,"Breast cancer",,DEATH
cerebrovascular,"Cerebrovascular disease",,DEATH
kidney_chronic,"Chronic kidney disease",,DEATH
pulmonary,"Chronic obstructive pulmonary disease",,DEATH
colorectal,"Colorectal cancer",,DEATH
coronary,"Coronary heart disease",,DEATH
dementia,"Dementia and Alzheimer disease",,DEATH
diabetes,Diabetes,,DEATH
heart_failure,"Heart failure",,DEATH
hypertension,"Hypertensive disease",,DEATH
influenza,"Influenza and pneumonia",,DEATH
kidney_failure,"Kidney failure",,DEATH
land_transport_accidents,"Land transport accidents",,DEATH
liver,"Liver disease",,DEATH
lung_cancer,"Lung cancer",,DEATH
melanoma,Melanoma,,DEATH
osteoarthritis,Osteoarthritis,,DEATH
osteoporosis,Osteoporosis,,DEATH
pancreatic_cancer,"Pancreatic cancer",,DEATH
prostate_cancer,"Prostate cancer",,DEATH
arthritis,"Rheumatoid arthritis",,DEATH
stroke,Stroke,,DEATH
suicide,Suicide,,DEATH
